Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1098,14,17,2020-02-28--2020-03-06,La Santa,4384527.0,"Bad Bunny, Daddy Yankee",36177712.0,69vlMrzHwATKzupwNcUPyK,"['latin', 'reggaeton', 'trap latino']",2020-02-29,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06",79.0,0.744,0.868,-4.524,0.047,0.0326,0.0822,93.037,206420.0,0.586,C#/Db
1099,125,15,2020-04-17--2020-04-24,Make You Mine,4356213.0,PUBLIC,165504.0,5iFwAOB2TFkPJk8sMlxP8g,['indie rockism'],2019-08-09,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20",77.0,0.606,0.799,-4.452,0.0261,0.0128,0.15,103.014,232907.0,0.638,A
1100,76,1,2020-06-12--2020-06-19,ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,7353153.0,DaBaby,7601122.0,4Aykm3xrOFSHrAnv80KUhh,"['north carolina hip hop', 'rap']",2020-06-12,2020-06-12--2020-06-19,62.0,0.747,0.689,-7.246,0.242,0.197,0.0884,89.901,204547.0,0.75,B
1101,97,1,2020-06-12--2020-06-19,Make It Rain,6042929.0,"Pop Smoke, Rowdy Rebel",6852509.0,4TgHt7vKCimpywaiKfl0uj,['brooklyn drill'],2020-06-12,2020-06-12--2020-06-19,64.0,0.54,0.77,-3.981,0.389,0.194,0.372,159.494,204000.0,0.565,C#/Db
1102,139,1,2020-06-12--2020-06-19,M' Manc (con Geolier & Sfera Ebbasta),5171235.0,Shablo,40045.0,0MLu1cFYL4ikdRTdasCQT9,['italian hip hop'],2020-06-11,2020-06-12--2020-06-19,66.0,0.703,0.704,-6.117,0.0641,0.048,0.41,139.933,180000.0,0.725,F#/Gb
1103,143,1,2020-06-12--2020-06-19,Emotions 2.0,5113459.0,"Ufo361, CÉLINE",1700759.0,3yZCjDTxzZxx1kll1sRjGc,"['german cloud rap', 'german hip hop']",2020-06-12,2020-06-12--2020-06-19,65.0,0.788,0.491,-9.884,0.109,0.386,0.107,98.543,146028.0,0.271,G#/Ab
1104,21,15,2020-03-06--2020-03-13,P2,4769996.0,Lil Uzi Vert,11821805.0,3kW4z2pIj5VY5fLjBrMRL5,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06,"2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13",73.0,0.775,0.72,-5.353,0.193,0.0236,0.114,155.086,234627.0,0.49,B
1105,79,11,2020-04-24--2020-05-01,Selfish,4754830.0,Madison Beer,3370013.0,4PV0uE5pZSh44E3NqNNDEH,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2020-02-14,"2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10",70.0,0.375,0.461,-6.202,0.0279,0.627,0.386,75.217,223270.0,0.233,A
1106,154,6,2020-06-05--2020-06-12,Surrender,4627942.0,Natalie Taylor,120208.0,0ecC8p17cDNlxHXkuYqeR6,[],2019-10-29,"2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15",76.0,0.39,0.448,-8.57,0.0276,0.8,0.107,144.89,183103.0,0.077,F
1107,86,6,2020-05-08--2020-05-15,Turks (with Gunna & ft. Travis Scott),4623279.0,NAV,2613211.0,7IMwEtpAiJanqF6vQteZN2,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",2020-05-08,"2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15",67.0,0.894,0.618,-4.356,0.129,0.0808,0.558,119.1,161320.0,0.379,G
